zip,sqmiles,population
02109,0.174,0.37710
02111,0.27,0.73830
02113,0.1,0.69150
02114,0.45,1.19990
02115,0.709,2.84410
02116,0.631,2.06280
02118,1.096,2.64980
02119,1.598,2.53460
02120,0.621,1.51810
02121,1.745,2.59780
02122,2.035,2.34790
02124,3.003,4.77830
02125,2.132,3.32950
02126,2.082,2.55620
02127,2.023,3.17990
02128,4.851,4.05080
02129,1.352,1.64390
02130,3.334,3.54010
02131,2.587,2.98260
02132,4.561,2.58610
02134,1.326,2.15030
02135,2.635,4.27800
02136,4.59,2.84880
02210,0.965,0.20900
02215,0.765,2.61250
02199,0.057,0.11460
02151,5.862,5.18080
02110,0.18,0.17330
02108,0.136,0.38250
